frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
155,2.0,[908.8409223831311 413.1173606766032 1308.0469053780341 729.8554973804174],[1022.2283935546875 623.8557739257812 1133.9091796875 665.6217041015625],0.6412109136581421,KA02NK909T,0.11951874944500625,2024-05-04 10:35:33,
157,2.0,[902.3733440805139 411.4916336370608 1309.515093484837 733.532372338322],[1022.219970703125 623.8433227539062 1133.947265625 665.6241455078125],0.6410574316978455,KA02NK909T,0.11951874944500625,2024-05-04 10:35:33,
160,2.0,[900.4445872741406 409.7902843367219 1312.523623292537 735.8247854950864],[1022.0772094726562 623.973876953125 1133.90283203125 665.5368041992188],0.6345816850662231,KA02KK9091,0.07131015368562273,2024-05-04 10:35:33,
161,2.0,[900.2044979545764 409.392233019531 1312.9991984727315 736.1876549208646],[1022.0407104492188 623.9892578125 1133.8624267578125 665.5377197265625],0.6355760097503662,KA02KK9091,0.07131015368562273,2024-05-04 10:35:33,
162,2.0,[900.0925990319504 409.0284602709951 1313.5185401631036 736.3678953379845],[1022.045654296875 623.9764404296875 1133.939208984375 665.5338745117188],0.6376969814300537,KA02KK9091,0.11331576152062582,2024-05-04 10:35:33,
163,2.0,[899.9863282315903 408.71574266588937 1313.834102485894 736.45528276041],[1022.0516967773438 623.9425048828125 1134.0140380859375 665.5563354492188],0.6380774974822998,KA02KK9091,0.10345419148696196,2024-05-04 10:35:33,
179,2.0,[855.5929363921725 400.4404675471484 1303.2472163898713 751.355579870857],[974.8489379882812 641.0868530273438 1101.154296875 682.8440551757812],0.5332093834877014,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
180,2.0,[849.6426611905358 399.36934495038304 1303.2034152306687 753.6879131004735],[974.8421630859375 641.08251953125 1101.1488037109375 682.8318481445312],0.5328171253204346,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
181,2.0,[846.4380241458732 398.4179791475957 1304.2698192401292 755.1884393231888],[974.839599609375 641.085205078125 1101.1431884765625 682.8526611328125],0.5331416726112366,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
182,2.0,[844.5418844063139 397.62389302541635 1305.4673299005872 756.1679536213422],[974.8405151367188 641.0888671875 1101.1417236328125 682.8506469726562],0.5330379009246826,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
183,2.0,[843.3253432955638 396.977742579685 1306.4898898356016 756.7805359902528],[974.8390502929688 641.0872192382812 1101.1436767578125 682.8321533203125],0.5330004692077637,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
184,2.0,[842.5257803278186 396.54240656828426 1307.3203675668472 757.2628745117235],[974.8346557617188 641.0875854492188 1101.145751953125 682.8484497070312],0.533175528049469,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
185,2.0,[841.9992511199493 396.18278669977053 1307.9793166633995 757.550053229503],[974.8441772460938 641.0921020507812 1101.141845703125 682.831787109375],0.5328112244606018,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
186,2.0,[841.6588602081345 395.9157644269899 1308.5206199724473 757.7587291453465],[974.87109375 641.0980834960938 1101.140380859375 682.8473510742188],0.5329489707946777,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
